,office_name,ceo_name,code,desc
0,미스터도너트코리아,야즈 카즈야, ,빵류 제조업
1,미스터블루,조승진,207760,데이터베이스 및 온라인정보 제공업
2,미스터블루,조승진, ,만화 출판업
3,미스터케이,김진수, ,문구용 종이제품 제조업
4,미스터피자,황문구, ,상품 종합 도매업
5,미시간벤처캐피탈,조일형, ,기타 금융 투자업
6,미시령동서관통도로,전근철, ,그 외 기타 분류 안된 사업지원 서비스업
7,미쓰비시가스케미칼,사카이 카즈오, ,기타 화학제품 제조업
8,미쓰비시다나베파마코리아,마츠오카카즈하루, ,완제 의약품 제조업
9,미쓰비시상사,Yorihiko Kojima, ,금속광물 도매업
10,미쓰비시연필한국판매,무라카미에미, ,"문구용품, 회화용품, 사무용품 도매업"
11,미쓰이금속한국,IWAKUMA NAOHITO, ,기타 전자부품 제조업
12,미쓰이물산,씨이즈 신지로, ,상품 중개업
13,미쓰이소꼬코리아,고한성, ,창고 및 운송관련 서비스업
14,미쓰이케미칼앤드에스케이씨폴리우레탄,원기돈, ,석유화학계 기초 화학물질 제조업
15,미애부,강동표,225850,생활용품 도매업
16,미앤수,이창민, ,주거용 건물 개발 및 공급업
17,미야산업,류응춘, , 
18,미엔지에셋,김동직, ,부동산 개발 및 공급업
19,미연건설,이정희, ,아파트 건설업
20,미영,최강미, ,경영 컨설팅 및 공공 관계 서비스업
21,미영,전경국, ,포장용 플라스틱 성형용기 제조업
22,미영,강동우, ,도매 및 상품 중개업
23,미오,조광현, ,기계장비 및 관련 물품 도매업
24,미왕,여상길, ,비주거용 건물 임대업
25,미우라인,전종한, ,핸드백 및 지갑 제조업
26,미우주택건설,오영남, ,아파트 건설업
27,미원,임준희, ,"식초, 발효 및 화학 조미료 제조업"
28,미원건업,이동규, ,비주거용 건물 개발 및 공급업
29,미원모방,우태형, ,모 방적업
30,미원상사,홍창식,002840,기타 화학제품 제조업
31,미원에스씨,"김형웅, 배원",268280,기초 화학물질 제조업
32,미원이오디,양종상, ,계면활성제 제조업
33,미원정밀공업,이대길, ,자동차 및 트레일러 제조업
34,미원홀딩스,"김정돈, 이선복",107590,기타 금융업
35,미원화학,정규식,134380,계면활성제 제조업
36,미유원,김숙자, ,"의복, 의복 액세서리 및 모피제품 제조업"
37,미유테크놀로지,오준수, ,방송 및 무선 통신장비 제조업
38,미장2차아이파크,이옥란, ,기타 금융업
39,미전,정기훈, ,아파트 건설업
40,미정,정기태, ,식료품 제조업
41,미정화학,최석보, ,합성수지 및 기타 플라스틱 물질 제조업
42,미젠스토리,구종서, ,"기술 시험, 검사 및 분석업"
43,미젤,김태성, ,"생활용 섬유제품, 의복, 의복 액세 서리 및 모피제품 도매업"
44,미조투자개발,김신의, ,호텔업
45,미종산업개발,조숙희, ,비주거용 건물 개발 및 공급업
46,미주건설,김근호, ,종합 건설업
47,미주공업,이방수, ,자동차 및 트레일러 제조업
48,미주금속,박상희, ,자동차 및 트레일러 제조업
